CustomerID,Gender,Age,Income,Score,Ware Pin,Customer Pin,Zone
1,Male,19,15,39,121003,507101,d
2,Male,21,15,81,121003,486886,d
3,Female,20,16,6,121003,532484,d
4,Female,23,16,77,121003,143001,b
5,Female,31,17,40,121003,515591,d
6,Female,22,17,76,121003,326502,d
7,Female,35,18,6,121003,208019,b
8,Female,23,18,94,121003,140301,b
9,Male,64,19,3,121003,396001,d
10,Female,30,19,72,121003,711106,d
11,Male,67,19,14,121003,284001,b
12,Female,35,19,99,121003,441601,d
13,Female,58,20,15,121003,248006,b
14,Female,24,20,77,121003,485001,d
15,Male,37,20,13,121003,845438,d
16,Male,22,20,79,121003,463106,d
17,Female,35,21,35,121003,140301,b
18,Male,20,21,66,121003,495671,d
19,Male,52,23,29,121003,673002,e
20,Female,35,23,98,121003,208002,b
21,Male,35,24,35,121003,416010,d
22,Male,25,24,73,121003,226010,b
23,Female,46,25,5,121003,400705,d
24,Male,31,25,73,121003,262405,b
25,Female,54,28,14,121003,394210,d
26,Male,29,28,82,121003,411014,d
27,Female,45,28,32,121003,783301,e
28,Male,35,28,61,121003,486661,d
29,Female,40,29,31,121003,244001,b
30,Female,23,29,87,121003,492001,d
31,Male,60,30,4,121003,517128,d
32,Female,21,30,73,121003,562110,d
33,Male,53,33,4,121003,831006,d
34,Male,18,33,92,121003,140604,b
35,Female,49,33,14,121003,723146,d
36,Female,21,33,81,121003,421204,d
37,Female,42,34,17,121003,263139,b
38,Female,30,34,73,121003,743263,d
39,Female,36,37,26,121003,392150,d
40,Female,20,37,75,121003,382830,d
41,Female,65,38,35,121003,711303,d
42,Male,24,38,92,121003,283102,b
43,Male,48,39,36,121003,370201,d
44,Female,31,39,61,121003,248001,b
45,Female,49,39,28,121003,144001,b
46,Female,24,39,65,121003,403401,d
47,Female,50,40,55,121003,452001,d
48,Female,27,40,47,121003,721636,d
49,Female,29,40,42,121003,831002,d
50,Female,31,40,42,121003,226004,b
51,Female,49,42,52,121003,248001,b
52,Male,33,42,60,121003,410206,d
53,Female,31,43,54,121003,516503,d
54,Male,59,43,60,121003,742103,d
55,Female,50,43,45,121003,452018,d
56,Male,47,43,41,121003,208001,b
57,Female,51,44,50,121003,244713,b
58,Male,69,44,46,121003,580007,d
59,Female,27,46,51,121003,360005,d
60,Male,53,46,46,121003,313027,b
61,Male,70,46,56,121003,341001,b
62,Male,19,46,55,121003,332715,b
63,Female,67,47,52,121003,302031,b
64,Female,54,47,59,121003,335001,b
65,Male,63,48,51,121003,334004,b
66,Male,18,48,59,121003,321001,b
67,Female,43,48,50,121003,324001,b
68,Female,68,48,48,121003,321608,b
69,Male,19,48,59,121003,302002,b
70,Female,32,48,47,121003,311011,b
71,Male,70,49,55,121003,306302,b
72,Female,47,49,42,121003,313001,b
73,Female,60,50,49,121003,302002,b
74,Female,60,50,56,121003,322255,b
75,Male,59,54,47,121003,302017,b
76,Male,26,54,54,121003,302017,b
77,Female,45,54,53,121003,335512,b
78,Male,40,54,48,121003,313001,b
79,Female,23,54,52,121003,313001,b
80,Female,49,54,42,121003,307026,b
81,Male,57,54,51,121003,327025,b
82,Male,38,54,55,121003,313333,b
83,Male,67,54,41,121003,313001,b
84,Female,46,54,44,121003,342008,b
85,Female,21,54,57,121003,314401,b
86,Male,48,54,46,121003,342301,b
87,Female,55,57,58,121003,313003,b
88,Female,22,57,55,121003,173212,e
89,Female,34,58,60,121003,174101,e
90,Female,50,58,46,121003,173213,e
91,Female,68,59,55,121003,302017,b
92,Male,18,59,41,121003,322201,b
93,Male,48,60,49,121003,314001,b
94,Female,40,60,40,121003,331022,b
95,Female,32,60,42,121003,305801,b
96,Male,24,60,52,121003,335502,b
97,Female,47,60,47,121003,306116,b
98,Female,27,60,50,121003,311001,b
99,Male,48,61,42,121003,302019,b
100,Male,20,61,49,121003,302039,b
101,Female,23,62,41,121003,335803,b
102,Female,49,62,48,121003,335001,b
103,Male,67,62,59,121003,175101,e
104,Male,26,62,55,121003,303903,b
105,Male,49,62,56,121003,342012,b
106,Female,21,62,42,121003,334001,b
107,Female,66,63,50,121003,302031,b
108,Male,54,63,46,121003,302012,b
109,Male,68,63,43,121003,342014,b
110,Male,66,63,48,121003,324005,b
111,Male,65,63,52,121003,302001,b
112,Female,19,63,54,121003,302004,b
113,Female,38,64,42,121003,302018,b
114,Male,19,64,46,121003,302017,b
115,Female,18,65,48,121003,324008,b
116,Female,19,65,50,121003,302020,b
117,Female,63,65,43,121003,302018,b
118,Female,49,65,59,121003,302017,b
119,Female,51,67,43,121003,302012,b
120,Female,50,67,57,121003,325207,b
121,Male,27,67,56,121003,303702,b
122,Female,38,67,40,121003,313301,b
123,Female,40,69,58,121003,173212,e
124,Male,39,69,91,121003,302020,b
